710	3120
594	2400
616	2485
467	2542
469	2040
477	1313
506	1110
496	1567
489	1542
448	2030
457	1608
427	1776
413	1938
431	2932
520	2963
502	1321
493	1323
481	1331
550	1945
592	1293
550	1739
536	1095
539	1714
588	2401
565	2311
538	1381
436	1179
463	1362
441	1244
484	2153
443	2163
422	2018
439	2208
382	1756
333	1479
343	1303
388	1636
436	2340
509	2508
550	2255
611	2577
625	2572
718	2908
576	2174
572	2060
614	2054
564	1894
571	2424
566	2072
525	2197
541	2101
578	1932
653	2150
581	2039
527	2097
511	2360
507	2353
506	2220
475	1657
556	1557
561	1371
569	1430
558	1282
535	1375
456	1671
344	1189
346	1048
317	985
276	1127
295	581
324	703
298	807
303	618
363	865
377	669
370	699
458	1192
471	1456
450	1336
434	903
457	1034
410	1183
412	1090
387	1106
428	1306
419	1132
431	1272
426	1480
405	1206
409	1194
424	1127
424	978
402	1135
423	1279
488	1500
530	1187
584	1162
512	1156
525	1236
581	1535
