954	3711
960	3256
958	3526
1007	3498
1010	2231
803	2230
863	2214
946	2199
1059	2270
1072	2262
1122	2820
1086	3419
1152	2882
1081	3163
1015	2635
1037	2664
1069	2702
1070	2405
1003	2474
993	2598
906	2310
952	2239
939	2183
950	2349
895	2324
932	2538
976	2574
964	2682
915	2289
900	2453
894	2389
970	2366
954	2506
968	2565
1017	2448
888	2111
871	2243
871	2125
1050	2484
1069	2591
1058	2557
1069	2688
1056	2538
1089	2836
1046	2846
1099	2731
1111	2836
1128	3164
1008	2776
1021	2872
1053	2915
1045	2866
956	2913
1024	3155
939	3227
1008	3024
1025	3153
1014	2964
1016	2789
1085	2521
1061	2708
1096	3404
1063	3473
1054	3125
1096	3262
1081	2449
1099	2553
1090	2795
946	2642
965	2671
941	2591
943	2297
882	2113
807	2236
828	2006
808	2123
974	2284
982	2507
1014	2634
982	2587
983	2418
977	2572
963	2191
1013	2692
1044	2410
1124	2437
1134	2345
1072	2522
1229	2511
1291	2388
1224	2472
1249	2415
1265	2561
1137	2266
1123	2267
1159	2864
1135	3252
1157	3218
1180	3366
1276	3553
